Region	Circle	Assignment group	T1/NLD
ROW	GJ	GIS_GJ	NLD
East	BHJH	GIS_BHJH	NLD
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
South	KA	GIS_BGLR	T1
South	KA	GIS_BGLR	T1
South	TN	GIS_TN	NLD
South	TN	GIS_CHNI	T1
South	TN	GIS_CHNI	T1
North	NCR	GIS_GRGN	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
ROW	ROM	GIS_ROM	NLD
ROW	GJ	GIS_GJ	NLD
North	UPE	GIS_UPE	NLD
ROW	ROM	GIS_PUNE	T1
South	TN	GIS_CHNI	T1
South	TN	GIS_TN	NLD
South	KA	GIS_BGLR	T1
East	BHJH	GIS_BHJH	NLD
North	RJ	GIS_RJ	NLD
ROW	ROM	GIS_ROM	NLD
ROW	ROM	GIS_PUNE	T1
South	TN	GIS_CHNI	T1
South	KA	GIS_BGLR	T1
Mumbai	Mumbai	GIS_MUMB	T1
North	RJ	GIS_RJ	NLD
Mumbai	Mumbai	GIS_MUMB	T1
North	RJ	GIS_RJ	NLD
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
ROW	ROM	GIS_ROM	NLD
Mumbai	Mumbai	GIS_MUMB	T1
East	BHJH	GIS_BHJH	NLD
Mumbai	Mumbai	GIS_MUMB	T1
East	BHJH	GIS_BHJH	NLD
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
North	RJ	GIS_RJ	NLD
South	KA	GIS_BGLR	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
ROW	MP	GIS_MPCG	NLD
Mumbai	Mumbai	GIS_MUMB	T1
South	TN	GIS_CHNI	T1
South	TN	GIS_CHNI	T1
South	KA	GIS_BGLR	T1
South	KL	GIS_KL	NLD
South	KA	GIS_BGLR	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
North	UPE	GIS_UPE	NLD
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
South	TN	GIS_CHNI	T1
North	NCR	GIS_DELHI	T1
South	TN	GIS_CHNI	T1
South	TN	GIS_CHNI	T1
South	TN	GIS_CHNI	T1
Mumbai	Mumbai	GIS_MUMB	T1
ROW	ROM	GIS_PUNE	T1
East	OR	GIS_OR	NLD
South	TN	GIS_CHNI	T1
South	TN	GIS_TN	NLD
South	TN	GIS_TN	NLD
North	UPE	GIS_UPE	NLD
South	KA	GIS_BGLR	T1
North	NCR	GIS_GRGN	T1
South	TN	GIS_CHNI	T1
South	KA	GIS_BGLR	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
South	KA	GIS_BGLR	T1
South	TN	GIS_TN	NLD
South	TN	GIS_TN	NLD
South	TN	GIS_TN	NLD
South	TN	GIS_CHNI	T1
ROW	ROM	GIS_PUNE	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
ROW	ROM	GIS_ROM	NLD
North	RJ	GIS_RJ	NLD
ROW	GJ	GIS_GJ	NLD
North	RJ	GIS_RJ	NLD
ROW	ROM	GIS_ROM	NLD
East	WB	GIS_KOL	T1
North	RJ	GIS_RJ	NLD
North	RJ	GIS_RJ	NLD
North	RJ	GIS_RJ	NLD
ROW	ROM	GIS_ROM	NLD
South	AP	GIS_HYBD	T1
North	PJ	GIS_PJ	NLD
North	UPE	GIS_UPE	NLD
North	NCR	GIS_GRGN	T1
North	NCR	GIS_GRGN	T1
North	NCR	GIS_GRGN	T1
North	NCR	GIS_GRGN	T1
North	NCR	GIS_GRGN	T1
North	NCR	GIS_DELHI	T1
South	KA	GIS_BGLR	T1
ROW	ROM	GIS_ROM	NLD
North	UPW	GIS_UPW	NLD
ROW	GJ	GIS_GJ	NLD
South	AP	GIS_HYBD	T1
South	KA	GIS_BGLR	T1
South	KA	GIS_BGLR	T1
South	KA	GIS_BGLR	T1
South	KA	GIS_BGLR	T1
South	KA	GIS_BGLR	T1
South	KA	GIS_BGLR	T1
South	KA	GIS_BGLR	T1
Mumbai	Mumbai	GIS_MUMB	T1
South	TN	GIS_CHNI	T1
South	TN	GIS_CHNI	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
South	AP	GIS_HYBD	T1
South	AP	GIS_HYBD	T1
South	TN	GIS_TN	NLD
East	WB	GIS_KOL	T1
ROW	GJ	GIS_GJ	NLD
North	RJ	GIS_RJ	NLD
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
Mumbai	Mumbai	GIS_MUMB	T1
South	AP	GIS_HYBD	T1
South	TN	GIS_TN	NLD
ROW	ROM	GIS_PUNE	T1
South	AP	GIS_AP	NLD
North	NCR	GIS_DELHI	T1
